num_trees,m,max_depth,num_leaf,num_split,acc,out_percent,home_percent,sleep_percent
25.0,2.0,2.0,1.0,2.0,0.5918367346938775,0.34615384615384615,0.6666666666666666,0.9411764705882353
25.0,2.0,2.0,1.0,4.0,0.5918367346938775,0.34615384615384615,0.6666666666666666,0.9411764705882353
25.0,2.0,2.0,1.0,8.0,0.5918367346938775,0.34615384615384615,0.6666666666666666,0.9411764705882353
25.0,2.0,2.0,1.0,16.0,0.5918367346938775,0.34615384615384615,0.6666666666666666,0.9411764705882353
25.0,2.0,2.0,1.0,32.0,0.5510204081632653,0.3333333333333333,0.5,0.8888888888888888
25.0,2.0,2.0,2.0,2.0,0.5918367346938775,0.34615384615384615,0.6666666666666666,0.9411764705882353
25.0,2.0,2.0,2.0,4.0,0.5918367346938775,0.34615384615384615,0.6666666666666666,0.9411764705882353
25.0,2.0,2.0,2.0,8.0,0.5918367346938775,0.34615384615384615,0.6666666666666666,0.9411764705882353
25.0,2.0,2.0,2.0,16.0,0.5918367346938775,0.34615384615384615,0.6666666666666666,0.9411764705882353
25.0,2.0,2.0,2.0,32.0,0.5510204081632653,0.3333333333333333,0.5,0.8888888888888888
25.0,2.0,2.0,4.0,2.0,0.5918367346938775,0.34615384615384615,0.6666666666666666,0.9411764705882353
25.0,2.0,2.0,4.0,4.0,0.5918367346938775,0.34615384615384615,0.6666666666666666,0.9411764705882353
25.0,2.0,2.0,4.0,8.0,0.5918367346938775,0.34615384615384615,0.6666666666666666,0.9411764705882353
25.0,2.0,2.0,4.0,16.0,0.5918367346938775,0.34615384615384615,0.6666666666666666,0.9411764705882353
25.0,2.0,2.0,4.0,32.0,0.5510204081632653,0.3333333333333333,0.5,0.8888888888888888
25.0,2.0,2.0,8.0,2.0,0.5918367346938775,0.36,0.6666666666666666,0.8888888888888888
25.0,2.0,2.0,8.0,4.0,0.5918367346938775,0.36,0.6666666666666666,0.8888888888888888
25.0,2.0,2.0,8.0,8.0,0.5918367346938775,0.36,0.6666666666666666,0.8888888888888888
25.0,2.0,2.0,8.0,16.0,0.5918367346938775,0.36,0.6666666666666666,0.8888888888888888
25.0,2.0,2.0,8.0,32.0,0.5510204081632653,0.3333333333333333,0.5,0.8888888888888888
25.0,2.0,2.0,16.0,2.0,0.6122448979591837,0.38461538461538464,0.8,0.8888888888888888
25.0,2.0,2.0,16.0,4.0,0.6122448979591837,0.38461538461538464,0.8,0.8888888888888888
