first_nneurons,second_nneurons,act_fcn,lr,dropout,batch_norm,batch_size,num_epochs,acc,out_percent,home_percent,sleep_percent
2,2,tanh,0.001,0,True,5,75,0.8723404255319149,1.0,0.7142857142857143,1.0
2,2,tanh,0.001,0,True,5,100,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
2,2,tanh,0.001,0,True,5,125,0.8936170212765957,1.0,0.7619047619047619,1.0
2,2,tanh,0.001,0,True,5,150,0.8723404255319149,0.8571428571428571,0.8095238095238095,0.9473684210526315
2,2,tanh,0.001,0,True,5,175,0.9148936170212766,1.0,0.8095238095238095,1.0
2,2,tanh,0.001,0,True,47,75,0.44680851063829785,0.5714285714285714,0.42857142857142855,0.42105263157894735
2,2,tanh,0.001,0,True,47,100,0.7659574468085106,0.7142857142857143,0.8571428571428571,0.6842105263157895
2,2,tanh,0.001,0,True,47,125,0.8085106382978723,1.0,0.7142857142857143,0.8421052631578947
2,2,tanh,0.001,0,True,47,150,0.8723404255319149,1.0,0.7142857142857143,1.0
2,2,tanh,0.001,0,True,47,175,0.8085106382978723,0.7142857142857143,0.6666666666666666,1.0
2,2,tanh,0.001,0,False,5,75,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
2,2,tanh,0.001,0,False,5,100,0.9148936170212766,1.0,0.8095238095238095,1.0
2,2,tanh,0.001,0,False,5,125,0.851063829787234,0.7142857142857143,0.7619047619047619,1.0
2,2,tanh,0.001,0,False,5,150,0.8936170212765957,1.0,0.8095238095238095,0.9473684210526315
2,2,tanh,0.001,0,False,5,175,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
2,2,tanh,0.001,0,False,47,75,0.6382978723404256,1.0,0.19047619047619047,1.0
2,2,tanh,0.001,0,False,47,100,0.8085106382978723,0.8571428571428571,0.6190476190476191,1.0
2,2,tanh,0.001,0,False,47,125,0.5106382978723404,0.8571428571428571,0.23809523809523808,0.6842105263157895
2,2,tanh,0.001,0,False,47,150,0.7446808510638298,0.2857142857142857,0.6666666666666666,1.0
2,2,tanh,0.001,0,False,47,175,0.7872340425531915,0.7142857142857143,0.6190476190476191,1.0
2,2,tanh,0.001,0.125,True,5,75,0.8723404255319149,1.0,0.7142857142857143,1.0
2,2,tanh,0.001,0.125,True,5,100,0.7872340425531915,0.8571428571428571,0.7142857142857143,0.8421052631578947
2,2,tanh,0.001,0.125,True,5,125,0.7659574468085106,0.7142857142857143,0.5714285714285714,1.0
2,2,tanh,0.001,0.125,True,5,150,0.8723404255319149,0.7142857142857143,0.8571428571428571,0.9473684210526315
2,2,tanh,0.001,0.125,True,5,175,0.8936170212765957,1.0,0.7619047619047619,1.0
2,2,tanh,0.001,0.125,True,47,75,0.3191489361702128,0.2857142857142857,0.5714285714285714,0.05263157894736842
2,2,tanh,0.001,0.125,True,47,100,0.5319148936170213,1.0,0.0,0.9473684210526315
2,2,tanh,0.001,0.125,True,47,125,0.8297872340425532,1.0,0.6666666666666666,0.9473684210526315
2,2,tanh,0.001,0.125,True,47,150,0.7659574468085106,0.7142857142857143,0.5714285714285714,1.0
2,2,tanh,0.001,0.125,True,47,175,0.8297872340425532,0.7142857142857143,0.7142857142857143,1.0
2,2,tanh,0.001,0.125,False,5,75,0.723404255319149,1.0,0.42857142857142855,0.9473684210526315
2,2,tanh,0.001,0.125,False,5,100,0.9148936170212766,1.0,0.8095238095238095,1.0
2,2,tanh,0.001,0.125,False,5,125,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
2,2,tanh,0.001,0.125,False,5,150,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
2,2,tanh,0.001,0.125,False,5,175,0.8723404255319149,0.7142857142857143,0.8095238095238095,1.0
