row_0,A Out,A Home,A Sleep,,,Accuracy,Out Sens.,Home Sens.,Sleep Sens.
P Out,7,5,0,,,0.87755102,0.875,0.761904762,1
P Home,1,16,0,,,,,,
P Sleep,0,0,20,,,,,,
