c,gamma,acc,out_percent,home_percent,sleep_percent
0.1,0.0001,0.20408163265306123,1.0,0.0,0.0
0.1,0.001,0.20408163265306123,1.0,0.0,0.0
0.1,0.01,0.30612244897959184,1.0,0.0,0.2777777777777778
0.1,0.1,0.7755102040816326,0.9,0.6190476190476191,0.8888888888888888
0.1,1.0,0.5510204081632653,0.7,0.8095238095238095,0.16666666666666666
0.1,10.0,0.20408163265306123,1.0,0.0,0.0
1.0,0.0001,0.20408163265306123,1.0,0.0,0.0
1.0,0.001,0.42857142857142855,1.0,0.0,0.6111111111111112
1.0,0.01,0.7755102040816326,0.9,0.6190476190476191,0.8888888888888888
1.0,0.1,0.7959183673469388,0.9,0.6666666666666666,0.8888888888888888
1.0,1.0,0.7346938775510204,0.4,0.7619047619047619,0.8888888888888888
1.0,10.0,0.5510204081632653,0.0,0.9047619047619048,0.4444444444444444
10.0,0.0001,0.5306122448979592,1.0,0.0,0.8888888888888888
10.0,0.001,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
10.0,0.01,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
10.0,0.1,0.7959183673469388,0.7,0.7619047619047619,0.8888888888888888
10.0,1.0,0.7346938775510204,0.4,0.7619047619047619,0.8888888888888888
10.0,10.0,0.3877551020408163,0.0,0.9047619047619048,0.0
100.0,0.0001,0.7551020408163265,0.8,0.6190476190476191,0.8888888888888888
100.0,0.001,0.7551020408163265,0.7,0.6666666666666666,0.8888888888888888
100.0,0.01,0.7755102040816326,0.8,0.6666666666666666,0.8888888888888888
100.0,0.1,0.7755102040816326,0.6,0.7619047619047619,0.8888888888888888
100.0,1.0,0.7551020408163265,0.4,0.8095238095238095,0.8888888888888888
100.0,10.0,0.3877551020408163,0.0,0.9047619047619048,0.0
