c,gamma,acc,out_percent,home_percent,sleep_percent
0.1,0.0001,0.40425531914893614,0.0,0.0,1.0
0.1,0.001,0.40425531914893614,0.0,0.0,1.0
0.1,0.01,0.8297872340425532,0.42857142857142855,0.8095238095238095,1.0
0.1,0.1,0.8297872340425532,0.5714285714285714,0.8095238095238095,0.9473684210526315
0.1,1.0,0.6170212765957447,0.14285714285714285,0.42857142857142855,1.0
0.1,10.0,0.40425531914893614,0.0,0.0,1.0
1.0,0.0001,0.8297872340425532,0.0,0.9523809523809523,1.0
1.0,0.001,0.8297872340425532,0.42857142857142855,0.8571428571428571,0.9473684210526315
1.0,0.01,0.851063829787234,0.5714285714285714,0.8571428571428571,0.9473684210526315
1.0,0.1,0.8936170212765957,0.7142857142857143,0.8571428571428571,1.0
1.0,1.0,0.8085106382978723,0.42857142857142855,0.8095238095238095,0.9473684210526315
1.0,10.0,0.5106382978723404,0.0,0.9047619047619048,0.2631578947368421
10.0,0.0001,0.8297872340425532,0.42857142857142855,0.8571428571428571,0.9473684210526315
10.0,0.001,0.851063829787234,0.5714285714285714,0.8571428571428571,0.9473684210526315
10.0,0.01,0.8936170212765957,0.7142857142857143,0.8571428571428571,1.0
10.0,0.1,0.851063829787234,0.5714285714285714,0.8095238095238095,1.0
10.0,1.0,0.8085106382978723,0.42857142857142855,0.8095238095238095,0.9473684210526315
10.0,10.0,0.5319148936170213,0.0,0.9047619047619048,0.3157894736842105
100.0,0.0001,0.851063829787234,0.5714285714285714,0.8571428571428571,0.9473684210526315
100.0,0.001,0.8936170212765957,0.7142857142857143,0.8571428571428571,1.0
100.0,0.01,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
100.0,0.1,0.8297872340425532,0.5714285714285714,0.8095238095238095,0.9473684210526315
100.0,1.0,0.8085106382978723,0.42857142857142855,0.8095238095238095,0.9473684210526315
100.0,10.0,0.5319148936170213,0.0,0.9047619047619048,0.3157894736842105
